number,lab01,lab02,lab03,lab04,lab05,lab06,lab07,lab08,lab09,lab10,lab11,lab12,hw01,hw02,hw03,hw04,hw05,hw06,hw07,hw08,hw09,hw10,hw11,qz01,qz02,qz03
1,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,9,10,10,9,10,7,,3,85,100,60
2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,6,10,7,10,10,100,90,100
3,10,10,10,10,10,10,10,10,10,10,10,,10,8,10,10,9,10,10,10,10,10,,83,92.5,100
4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,8,100,100,100
5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,7,97,100,96.67
6,10,10,10,10,10,10,,,10,10,,,5,0,9,0,10,,8,,5,,,33,77.5,73.33
7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,8,10,10,10,8,90,77.5,100
8,10,10,10,10,10,10,10,,,10,10,10,10,10,0,0,,10,,,,,,50.81,47.5,6.67
9,10,10,10,8,10,10,10,10,10,,10,10,10,9,9,9,10,10,9,10,9,,,100,80,80
10,10,10,0,10,10,10,10,,,10,,,8,9,0,0,10,,,,9,10,,41,22.5,0
11,10,10,10,10,10,10,10,10,10,,10,10,10,9,10,0,10,10,,10,7,5,,44,95,80
12,10,10,10,10,10,10,10,10,10,10,,10,9,10,10,10,10,10,9,10,10,10,5,100,47.5,100
13,10,10,10,10,10,10,,10,10,10,10,10,,9,10,10,,10,10,,9,10,10,77,80,86.67
14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,100
15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,10,10,9,10,8,10,5,100,100,100
16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,10,9,10,10,10,,100,100,100
17,10,10,10,10,8,10,10,,,10,,10,10,10,9,10,,,,,,,,74,10,0
18,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,9,,,,,,,82,32.5,0
19,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,7,10,9,97,92.5,83.33
20,10,10,10,10,0,10,10,10,10,10,10,,10,9,10,10,9,10,,,,,,92,92.5,6.67
21,10,10,10,10,10,10,,10,10,10,10,,10,9,10,9,8,10,9,10,10,10,,59,85,53.33
22,10,10,10,10,9.5,10,10,10,10,10,10,10,10,10,9,10,,10,10,10,10,10,10,100,100,100
23,10,10,10,10,10,10,10,10,10,10,,,10,10,10,10,9,10,10,10,10,10,10,72,97.5,100
24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,,10,10,10,8,69,100,100
25,10,10,10,10,10,10,10,10,10,10,,10,9,9,10,10,10,10,10,10,10,10,10,100,100,100
26,10,10,10,10,8,10,10,10,10,10,,10,10,10,10,10,10,10,9,10,10,10,8,100,20,100
27,10,10,10,10,10,10,10,10,,10,10,10,10,10,9,10,,10,10,10,10,10,8,100,100,100
28,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,9,10,10,10,10,,8,100,100,100
29,10,10,10,10,10,10,10,10,10,10,10,,7,7,10,7,5,10,,10,9,,,36,67.5,66.67
30,10,10,10,10,10,10,10,10,10,10,10,,10,9,10,10,10,10,10,10,10,10,10,90,100,100
31,10,0,10,10,0,10,,,,,,,0,0,0,0,,,,,,,,0,0,0
32,10,5,,,,,,,,,,,,,,,,,,,,,,33,15,73.33
33,10,10,10,10,10,10,10,,10,10,10,10,9,10,10,10,10,10,10,10,9,10,10,97,100,100
34,10,10,10,10,10,10,10,,,,10,10,10,9,10,9,,10,,10,10,10,,100,95,83.33
35,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,9,10,8,10,7,10,10,100,100,100
36,10,10,10,10,8,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,100,100,100
37,10,10,10,10,10,10,10,10,10,10,10,,10,,10,9,10,,9,10,9,10,,87,52.5,43.33
38,10,10,10,10,10,10,,10,10,10,10,,10,10,9,9,,,8,,5,,,97,90,93.33
39,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,8,10,9,10,10,10,,100,100,100
40,10,10,10,10,10,10,10,10,10,10,10,,10,10,9,10,,10,9,,,10,,56,52.5,100
41,10,10,10,10,10,10,10,10,10,10,,10,10,10,9,0,10,10,,,,,,77,57.5,46.67
42,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,10,10,10,7,10,10,,8,46,87.5,36.67
43,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,8,10,,9,10,10,10,8,100,85,76.67
44,10,10,10,10,8.5,10,10,10,10,10,10,10,,9,10,0,6,,8,10,8,10,6,100,100,100
45,10,10,10,10,10,0,,10,10,,,,10,10,9,9,10,10,9,10,,10,3,77,20,53.33
46,10,10,10,5,10,10,10,10,10,,10,10,10,9,9,9,9,10,,10,10,10,8,95,100,100
47,10,10,10,10,10,10,10,10,10,10,10,,10,9,10,10,10,10,9,10,10,10,6,97,92.5,100
48,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,10,9,10,10,10,10,100,100,100
49,10,10,10,10,10,10,10,,10,10,10,10,,9,9,8,8,,9,10,6,10,,95,57.5,96.67
50,10,10,10,10,10,10,10,,10,,10,10,10,10,10,10,10,10,10,10,10,10,,92,65,73.33
51,10,10,10,10,10,10,10,10,10,10,10,,10,9,8,10,8,10,8,10,10,10,10,100,100,100
52,10,10,10,8,10,10,10,10,10,10,10,10,9,9,8,0,9,,8,10,8,10,6,85,100,100
53,10,10,10,0,10,10,,10,10,10,10,,10,10,9,10,9,,10,10,,,,100,70,73.33
54,10,10,10,10,10,10,10,10,10,10,10,10,5,9,10,10,9,10,10,10,7,10,10,74,47.5,46.67
55,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,,10,8,10,,10,8,100,100,100
56,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,8,100,100,100
57,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,6,10,10,10,10,7,10,,56,67.5,46.67
58,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,10,9,10,10,6,8,100,100,100
59,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,8,10,10,10,10,100,100,100
60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,100,100,100
61,10,10,10,10,0,10,,,10,10,,,7,7,7,0,7,10,10,10,10,10,8,0,0,0
62,10,10,10,10,10,10,10,10,10,10,10,10,8,9,10,8,8,10,10,10,8,5,8,100,100,100
63,10,10,10,10,10,10,10,,10,10,10,10,9,9,9,8,9,,10,10,7,10,,95,80,33.33
64,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,8,10,8,100,100,100
65,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,7,10,,,10,10,,72,0,3.33
66,10,10,10,10,10,10,10,10,10,10,,10,10,,9,0,8,10,10,10,10,10,8,100,100,100
67,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,9,10,10,,,82,100,93.33
68,10,10,10,10,10,10,10,10,10,10,10,10,6,9,9,10,10,10,10,10,10,10,10,92,77.5,100
69,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,7,10,10,7,10,5,10,2,92,100,96.67
70,10,10,10,10,9.5,10,10,10,10,10,10,10,10,10,10,10,9,10,10,,10,10,10,77,100,100
71,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,10,,10,9,10,5,100,75,63.33
72,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,10,10,10,10,10,2,87,100,100
73,10,10,10,10,5,10,10,10,10,10,10,10,10,10,,0,9,10,9,,,10,7,87,85,100
74,10,0,10,10,10,10,10,10,10,10,10,10,10,9,,9,10,,5,10,10,5,8,38,80,23.33
75,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,9,10,7,95,95,100
76,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,10,10,10,10,10,2,100,100,100
77,10,10,10,10,9.5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,100,100,100
78,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,100,92.5,100
79,10,10,10,10,10,10,10,10,10,10,,10,10,7,8,9,7,,9,10,10,,8,100,92.5,100
80,10,10,10,10,10,10,10,,10,10,10,10,10,9,8,10,10,10,9,10,10,10,,54,100,76.67
81,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,9,10,10,10,10,,,82,100,76.67
82,10,10,10,10,10,10,10,,10,,,,10,10,8,10,8,10,10,10,10,,8,100,95,36.67
83,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,100,100,100
84,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,9,10,,100,100,100
85,10,10,10,10,9,5,10,10,10,10,10,10,10,9,10,9,10,10,10,10,10,10,8,85,97.5,100
86,10,10,10,10,10,10,10,,10,10,,10,9,9,10,10,10,10,9,10,8,10,7,59,100,66.67
87,10,10,10,0,10,10,10,,,10,10,10,10,9,9,0,8,,,10,9,10,6,90,100,60
88,10,10,10,10,10,10,10,10,10,10,,10,9,9,0,9,5,,9,10,8,,,77,90,73.33
89,10,10,10,10,9.5,10,10,,,10,10,10,10,10,10,10,10,10,10,10,9,10,8,100,100,100
90,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,9,10,9,10,9,100,100,100
91,10,10,10,10,10,10,10,10,,10,10,,9,7.2,7,9,10,10,10,10,10,5,8,85,37.5,76.67
92,10,10,10,10,10,10,,,10,10,10,10,10,9,10,10,9,10,,,10,5,,82,17.5,6.67
93,10,10,10,10,10,10,10,10,10,10,10,,10,9,9,9,7,10,8,10,8,10,8,79,77.5,86.67
94,10,10,10,10,10,10,10,10,10,10,10,,10,9,10,10,9,10,5,10,7,10,8,100,42.5,100
95,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,10,10,10,100,90,33.33
96,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,5,,23,10,100
97,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,7,100,100,100
98,10,10,10,10,10,10,10,10,10,,10,10,10,10,6,0,6,,,,,,,38,15,6.67
99,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,5,,5,10,4,10,8,23,25,46.67
100,10,10,10,10,10,10,10,10,10,10,10,10,9,0,9,9,10,10,10,,10,10,,0,45,46.67
101,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,,,,10,10,,79,42.5,33.33
102,10,10,10,10,10,10,10,10,10,10,10,10,9,9,7,10,10,10,10,10,10,10,9,79,100,53.33
103,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,9,10,,100,100,100
104,10,10,10,0,10,9.5,10,10,10,10,10,10,,,9,10,,,,,,,,100,20,30
105,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,10,9,10,8,100,100,100
106,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,9,,10,5,10,100,52.5,60
107,10,10,10,10,10,10,,,,,,,10,10,10,0,,,,,,,,21,37.5,0
108,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,2,38,85,100
109,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,9,10,,9,10,7,,8,100,77.5,100
110,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10,9,10,10,9,10,10,5,8,44,82.5,100
111,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,9,10,,10,10,10,,67,40,83.33
112,10,0,10,10,10,10,0,10,10,10,10,10,9,9,10,0,,,,,,,,46,2.5,0
113,10,10,10,10,10,10,10,10,10,10,10,,10,9,8,10,8,10,6,10,10,10,,100,100,100
114,10,10,10,10,10,10,10,10,10,10,10,10,8,9,10,10,8,10,8,10,10,10,,100,100,100
115,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,,74,40,43.33
116,10,10,10,10,10,10,10,10,10,10,,10,10,9,10,10,10,10,8,10,10,7,8,100,100,93.33