Player,Year,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC
Jamaal Williams,2017,GB,16,25,262,10.48,16.4,54t,2,12,34,256
Jay Ajayi,2017,MIA/PHI,14,24,158,6.58,11.3,32,1,8,34,176
Josh Bellamy,2017,CHI,15,24,376,15.67,25.1,46t,1,17,46,116
Rhett Ellison,2017,NYG,16,24,235,9.79,14.7,27,2,13,32,131
Marcedes Lewis,2017,JAX,16,24,318,13.25,19.9,37,5,18,48,163
Geronimo Allison,2017,GB,15,23,253,11,16.9,72,0,10,39,119
Trey Burton,2017,PHI,15,23,248,10.78,16.5,27t,5,14,31,35
Jamaal Charles,2017,DEN,14,23,129,5.61,9.2,20,0,6,28,159
Brandon Coleman,2017,NO,16,23,364,15.83,22.8,54,3,14,37,143
Corey Coleman,2017,CLE,9,23,305,13.26,33.9,44,2,17,58,58
Alex Collins,2017,BAL,15,23,187,8.13,12.5,37,0,8,36,190
Jordan Howard,2017,CHI,16,23,125,5.43,7.8,12,0,4,32,157
Ty Montgomery,2017,GB,8,23,173,7.52,21.6,23,1,8,31,215
Bilal Powell,2017,NYJ,15,23,170,7.39,11.3,31,0,8,33,143
Chester Rogers,2017,IND,11,23,284,12.35,25.8,61t,1,15,37,104
Tyler Boyd,2017,CIN,10,22,225,10.23,22.5,49t,2,14,32,91
Coby Fleener,2017,NO,11,22,295,13.41,26.8,33,2,13,30,111
Jeremy Kerley,2017,NYJ,8,22,217,9.86,27.1,31t,1,13,27,57
Nick O'Leary,2017,BUF,15,22,322,14.64,21.5,32,2,14,32,120
Samaje Perine,2017,WAS,16,22,182,8.27,11.4,25,1,9,24,206
Matt Breida,2017,SF,16,21,180,8.57,11.2,32,1,9,36,160
John Brown,2017,ARI,10,21,299,14.24,29.9,52,3,15,55,59
Garrett Celek,2017,SF,16,21,336,16,21,61,4,15,33,172
A.J. Derby,2017,DEN/MIA,11,21,244,11.62,22.2,29,2,11,40,92
Chris Ivory,2017,JAX,14,21,175,8.33,12.5,29,1,8,28,185
Marlon Mack,2017,IND,14,21,225,10.71,16.1,34,1,10,33,283
Demarcus Robinson,2017,KC,16,21,212,10.1,13.2,33,0,13,39,47
Kenny Britt,2017,CLE/NE,12,20,256,12.8,21.3,38,2,10,43,88
Benny Cunningham,2017,CHI,14,20,240,12,17.1,40,2,9,26,243
Justin Hardy,2017,ATL,16,20,221,11.05,13.8,27,3,13,29,76
Marshawn Lynch,2017,OAK,15,20,151,7.55,10.1,25,0,6,31,164
Zach Miller,2017,CHI,8,20,236,11.8,29.5,29,2,10,35,72
Terrelle Pryor,2017,WAS,9,20,240,12,26.7,44t,1,15,37,58
Laquon Treadwell,2017,MIN,16,20,200,10,12.5,25,0,12,35,58
Damien Williams,2017,MIA,11,20,155,7.75,14.1,24,1,10,28,153
Michael Campanaro,2017,BAL,13,19,173,9.11,13.3,18,1,11,27,81
Orleans Darkwa,2017,NYG,15,19,116,6.11,7.7,13,0,7,28,118
Cody Latimer,2017,DEN,11,19,287,15.11,26.1,32,2,15,31,64
Braxton Miller,2017,HOU,11,19,162,8.53,14.7,57,1,7,29,61
Aldrick Robinson,2017,SF,16,19,260,13.68,16.2,45t,2,12,48,45
Rod Smith,2017,DAL,15,19,202,10.63,13.5,81t,1,9,23,176
Josh Gordon,2017,CLE,5,18,335,18.61,67,54,1,12,42,123
Demetrius Harris,2017,KC,16,18,224,12.44,14,51,1,11,35,129
Lance Kendricks,2017,GB,16,18,203,11.28,12.7,51,1,8,35,89
Tavarres King,2017,NYG,8,18,240,13.33,30,57t,3,11,37,78
Brandon Marshall,2017,NYG,5,18,154,8.56,30.8,18,0,11,33,39
Chris Moore,2017,BAL,13,18,248,13.78,19.1,30t,3,11,38,41
Eli Rogers,2017,PIT,14,18,149,8.28,10.6,18t,1,9,36,81
Jonnu Smith,2017,TEN,16,18,157,8.72,9.8,32t,2,5,30,96
Jarius Wright,2017,MIN,16,18,198,11,12.4,30,2,13,25,86
Darren Fells,2017,DET,16,17,177,10.41,11.1,23,3,12,26,122
D.J. Foster,2017,ARI,7,17,133,7.82,19,20,0,8,28,79
Elijah McGuire,2017,NYJ,16,17,177,10.41,11.1,38,1,9,26,142
Greg Olsen,2017,CAR,7,17,191,11.24,27.3,30t,1,13,38,48
Russell Shepard,2017,CAR,15,17,202,11.88,13.5,40t,1,10,32,106
Peyton Barber,2017,TB,16,16,114,7.13,7.1,34,0,4,19,113
Kendrick Bourne,2017,SF,11,16,257,16.06,23.4,54,0,12,34,114
Travaris Cadet,2017,NYJ/BUF,9,16,119,7.44,13.2,16,0,3,19,86
Gerald Everett,2017,LA,16,16,244,15.25,15.2,69,2,7,32,108
Josh Hill,2017,NO,16,16,125,7.81,7.8,22,1,4,22,88
Mack Hollins,2017,PHI,16,16,226,14.13,14.1,64t,1,8,22,43
Taywan Taylor,2017,TEN,16,16,231,14.44,14.4,53t,1,9,28,54
Kamar Aiken,2017,IND,15,15,133,8.87,8.9,21,0,7,44,47
Brice Butler,2017,DAL,13,15,317,21.13,24.4,53,3,10,23,36
Mike Davis,2017,SEA,6,15,131,8.73,21.8,23,0,6,18,168
Latavius Murray,2017,MIN,16,15,103,6.87,6.4,28,0,3,17,125
Curtis Samuel,2017,CAR,9,15,115,7.67,12.8,23,0,6,26,41
Dion Sims,2017,CHI,14,15,180,12,12.9,27t,1,9,29,67
Maxx Williams,2017,BAL,11,15,86,5.73,7.8,17,1,6,18,100
Luke Willson,2017,SEA,16,15,153,10.2,9.6,27t,4,8,22,90
Kapri Bibbs,2017,WAS,3,14,128,9.14,42.7,36t,1,4,17,128
C.J. Fiedorowicz,2017,HOU,5,14,127,9.07,25.4,15,0,7,22,37
Virgil Green,2017,DEN,16,14,191,13.64,11.9,44,1,7,22,92
Vance McDonald,2017,PIT,10,14,188,13.43,18.8,28,1,10,24,88
James O'Shaughnessy,2017,JAX,16,14,149,10.64,9.3,29,1,9,24,91
De'Anthony Thomas,2017,KC,16,14,143,10.21,8.9,57t,2,4,16,73
Mike Tolbert,2017,BUF,12,14,78,5.57,6.5,12,0,2,17,48
Tavon Austin,2017,LA,16,13,47,3.62,2.9,13,0,2,22,73
Daniel Brown,2017,CHI,14,13,129,9.92,9.2,17,0,9,20,46
Brent Celek,2017,PHI,16,13,130,10,8.1,28,1,7,24,85
Jakeem Grant,2017,MIA,16,13,203,15.62,12.7,65t,2,9,22,144
Ryan Griffin,2017,HOU,7,13,158,12.15,22.6,35,1,8,26,77
Andre Holmes,2017,BUF,14,13,120,9.23,8.6,36,3,10,23,11
Niles Paul,2017,WAS,14,13,94,7.23,6.7,32,0,4,19,31
Wendell Smallwood,2017,PHI,8,13,103,7.92,12.9,24,0,6,18,87
Jordan Taylor,2017,DEN,10,13,142,10.92,14.2,30,0,5,20,45
Brandon Williams,2017,IND,14,13,121,9.31,8.6,32,0,4,17,78
Phillip Dorsett,2017,NE,15,12,194,16.17,12.9,39,0,8,18,68
Alex Erickson,2017,CIN,16,12,180,15,11.2,37,1,9,16,39
Anthony Fasano,2017,MIA,16,12,107,8.92,6.7,29,1,5,16,37
Richard Rodgers,2017,GB,15,12,160,13.33,10.7,36,1,6,19,89
Ricky Seals-Jones,2017,ARI,10,12,201,16.75,20.1,29t,3,10,28,74
Adam Shaheen,2017,CHI,13,12,127,10.58,9.8,31,3,8,14,49
Levine Toilolo,2017,ATL,15,12,122,10.17,8.1,25t,1,5,14,63
Nick Vannett,2017,SEA,15,12,124,10.33,8.3,21,1,6,15,45
Chris Conley,2017,KC,5,11,175,15.91,35,35,0,8,16,45
Dalvin Cook,2017,MIN,4,11,90,8.18,22.5,36,0,3,16,104
Pharoh Cooper,2017,LA,16,11,84,7.64,5.2,26,0,3,19,54
Derrick Henry,2017,TEN,16,11,136,12.36,8.5,66t,1,4,17,125
Troy Niklas,2017,ARI,15,11,132,12,8.8,21,1,6,23,56
Adrian Peterson,2017,NO/ARI,10,11,70,6.36,7,13,0,3,19,55
Josh Reynolds,2017,LA,16,11,104,9.45,6.5,28,1,7,24,34
Mike Williams,2017,LAC,10,11,95,8.64,9.5,20,0,7,23,11
Dwayne Allen,2017,NE,16,10,86,8.6,5.4,22,1,5,22,64
Damiere Byrd,2017,CAR,8,10,105,10.5,13.1,31,2,5,17,61
Corey Clement,2017,PHI,16,10,123,12.3,7.7,28,2,6,15,128
Michael Floyd,2017,MIN,11,10,78,7.8,7.1,19,0,3,17,34
Tommylee Lewis,2017,NO,15,10,116,11.6,7.7,52,1,4,15,52
David Morgan,2017,MIN,15,10,95,9.5,6.3,23,1,5,12,57
Breshad Perriman,2017,BAL,11,10,77,7.7,7,14,0,3,35,5
C.J. Uzomah,2017,CIN,14,10,92,9.2,6.6,21,1,6,15,50
Kerwynn Williams,2017,ARI,16,10,93,9.3,5.8,25,0,6,15,46
Malcolm Brown,2017,LA,11,9,53,5.89,4.8,16,0,3,11,59
Chad Hansen,2017,NYJ,15,9,94,10.44,6.3,24,0,6,17,22
Jeff Heuerman,2017,DEN,14,9,142,15.78,10.1,54t,2,5,18,63
Johnny Holton,2017,OAK,16,9,218,24.22,13.6,64t,3,5,18,40
Aaron Jones,2017,GB,12,9,22,2.44,1.8,9,0,2,18,30
Doug Martin,2017,TB,11,9,84,9.33,7.6,17,0,6,18,60
Thomas Rawls,2017,SEA,12,9,94,10.44,7.8,22,0,4,13,79
Jacquizz Rodgers,2017,TB,16,9,74,8.22,4.6,15,0,4,11,85
Robert Turbin,2017,IND,6,9,56,6.22,9.3,16,0,3,11,69
Clive Walford,2017,OAK,13,9,80,8.89,6.2,26,0,2,13,22
Kasen Williams,2017,CLE,7,9,84,9.33,12,14,0,2,18,21
Jerell Adams,2017,NYG,16,8,92,11.5,5.8,38,0,5,11,28
Brenton Bersin,2017,CAR,8,8,128,16,16,27,0,6,14,16
LeGarrette Blount,2017,PHI,16,8,50,6.25,3.1,20,1,3,8,47
Derek Carrier,2017,LA,14,8,71,8.88,5.1,17,0,4,11,50
Amara Darboh,2017,SEA,16,8,71,8.88,4.4,16,0,2,13,16
Tyler Ervin,2017,HOU,4,8,38,4.75,9.5,7,0,1,11,12
Tre McBride,2017,CHI,8,8,144,18,18,45,0,6,15,50
Louis Murphy,2017,SF,7,8,121,15.13,17.3,40,1,6,17,39
Paul Perkins,2017,NYG,11,8,46,5.75,4.2,11,0,1,10,59
Travis Rudolph,2017,NYG,7,8,101,12.63,14.4,29,0,4,21,43
Lee Smith,2017,OAK,16,8,76,9.5,4.8,21,0,4,11,32
Willie Snead,2017,NO,11,8,92,11.5,8.4,26,0,4,16,32
Jonathan Stewart,2017,CAR,15,8,52,6.5,3.5,21,1,2,15,69
Eric Tomlinson,2017,NYJ,14,8,121,15.13,8.6,34,1,4,11,68
Austin Traylor,2017,DEN,7,8,100,12.5,14.3,34,0,6,13,42
Alfred Blue,2017,HOU,11,7,54,7.71,4.9,14,0,4,9,42
Leonte Carroo,2017,MIA,14,7,69,9.86,4.9,21,0,4,14,11
Chris Carson,2017,SEA,4,7,59,8.43,14.8,10t,1,3,8,46
Patrick DiMarco,2017,BUF,16,7,28,4,1.8,9,0,0,10,10
C.J. Ham,2017,MIN,16,7,68,9.71,4.2,12,0,3,8,84
Alfred Morris,2017,DAL,14,7,45,6.43,3.2,13,0,1,9,44
Aaron Ripkowski,2017,GB,16,7,39,5.57,2.4,12,0,1,10,22
Darren Sproles,2017,PHI,3,7,73,10.43,24.3,16,0,3,12,83
Logan Thomas,2017,BUF,12,7,67,9.57,5.6,22t,1,2,9,11
Ross Travis,2017,KC/IND,15,7,76,10.86,5.1,20,0,5,17,34
Tommy Bohanon,2017,JAX,16,6,43,7.17,2.7,14,1,3,11,28
Kaelin Clay,2017,BUF/CAR,13,6,85,14.17,6.5,28,0,5,20,20
Sammie Coates,2017,CLE,12,6,70,11.67,5.8,38,0,2,11,16
James Develin,2017,NE,16,6,38,6.33,2.4,10,0,3,10,26
D'Onta Foreman,2017,HOU,10,6,83,13.83,8.3,34,0,4,8,66
Michael Hoomanawanui,2017,NO,14,6,52,8.67,3.7,25,1,2,10,27
David Johnson,2017,ARI,1,6,67,11.17,67,24,0,3,9,46
Eddie Lacy,2017,SEA,9,6,47,7.83,5.2,14,0,2,6,51
Josh Malone,2017,CIN,11,6,63,10.5,5.7,25t,1,3,17,19
Byron Marshall,2017,WAS,4,6,36,6,9,12,0,0,8,51
Jaydon Mickens,2017,JAX,10,6,77,12.83,7.7,41,2,4,11,39
Jamize Olawale,2017,OAK,12,6,33,5.5,2.8,9,0,1,7,24
Branden Oliver,2017,LAC,8,6,26,4.33,3.2,11,0,2,11,31
C.J. Prosise,2017,SEA,5,6,87,14.5,17.4,46,0,3,11,50
Brian Quick,2017,WAS,11,6,76,12.67,6.9,31,0,5,8,27
Anthony Sherman,2017,KC,16,6,47,7.83,2.9,11,0,3,8,41
Neal Sterling,2017,NYJ,11,6,82,13.67,7.5,35,0,5,11,42
ArDarius Stewart,2017,NYJ,15,6,82,13.67,5.5,46,0,2,13,19
Ryan Switzer,2017,DAL,16,6,41,6.83,2.6,12,0,4,7,18
Brandon Tate,2017,BUF,13,6,81,13.5,6.2,24,1,5,14,37
Lawrence Thomas,2017,NYJ,14,6,43,7.17,3.1,15,0,1,7,33
Kenjon Barner,2017,PHI,13,5,56,11.2,4.3,22,0,1,8,52
Alan Cross,2017,TB,8,5,58,11.6,7.2,23,0,3,6,25
Trevor Davis,2017,GB,16,5,70,14,4.4,29,0,2,7,34
Brittan Golden,2017,ARI,13,5,70,14,5.4,29,0,3,9,49
Xavier Grimble,2017,PIT,15,5,32,6.4,2.1,12,1,2,9,16
Chris Johnson,2017,ARI,4,5,43,8.6,10.8,15,0,2,6,30
Marcus Johnson,2017,PHI,10,5,45,9,4.5,16,0,3,8,7
Ben Koyack,2017,JAX,16,5,38,7.6,2.4,21,0,0,7,14
Freddie Martino,2017,TB,8,5,96,19.2,12,39,0,4,6,15
Tanner McEvoy,2017,SEA,15,5,113,22.6,7.5,53,0,4,9,19
Bobby Rainey,2017,BAL,4,5,18,3.6,4.5,12,0,1,7,34
Hunter Sharp,2017,DEN/NYG,3,5,54,10.8,18,21,1,2,9,23
Keith Smith,2017,DAL,16,5,26,5.2,1.6,12,0,2,5,22
Mike Thomas,2017,LA,8,5,93,18.6,11.6,50,0,4,7,29
Chris Thompson,2017,HOU,13,5,84,16.8,6.5,32,0,5,6,30
Bryce Treggs,2017,CLE,6,5,79,15.8,13.2,20,0,4,18,3
Fozzy Whittaker,2017,CAR,12,5,47,9.4,3.9,28t,1,1,6,59
Noah Brown,2017,DAL,13,4,33,8.25,2.5,14,0,3,9,22
Michael Clark,2017,GB,2,4,41,10.25,20.5,19,0,2,14,11
Matt Dayes,2017,CLE,16,4,29,7.25,1.8,15,0,1,5,22
Tyler Eifert,2017,CIN,2,4,46,11.5,23,22,0,2,5,11
James Hanna,2017,DAL,16,4,88,22,5.5,31,1,4,9,29
Maurice Harris,2017,WAS,6,4,62,15.5,10.3,36t,1,3,6,8
Jeremy Hill,2017,CIN,7,4,16,4,2.3,10,0,1,4,30
Jacob Hollister,2017,NE,15,4,42,10.5,2.8,19,0,2,11,5
Akeem Hunt,2017,KC,15,4,31,7.75,2.1,20,0,1,7,45
Justin Hunter,2017,PIT,7,4,23,5.75,3.3,7,1,2,10,14
Andy Janovich,2017,DEN,16,4,35,8.75,2.2,16,0,2,6,24
Rob Kelley,2017,WAS,7,4,18,4.5,2.6,9,0,3,7,20
Sean McGrath,2017,LAC,15,4,46,11.5,3.1,23,0,3,4,16
Isaiah McKenzie,2017,DEN,11,4,29,7.25,2.6,14,0,2,13,10
Elijhaa Penny,2017,ARI,16,4,38,9.5,2.4,18,0,2,6,41
Jay Prosch,2017,HOU,16,4,31,7.75,1.9,18,0,1,4,27
Patrick Ricard,2017,BAL,16,4,12,3,0.8,6t,2,2,4,10
Michael Roberts,2017,DET,15,4,46,11.5,3.1,23,0,2,7,12
Luke Stocker,2017,TB/TEN,12,4,30,7.5,2.5,12,1,1,5,22
Phillip Supernaw,2017,TEN,16,4,39,9.75,2.4,20,1,2,6,15
Will Tye,2017,NYJ,3,4,38,9.5,12.7,21,0,1,6,19
Griff Whalen,2017,BAL,2,4,23,5.75,11.5,9,0,0,6,2
Jared Abbrederis,2017,DET,7,3,44,14.67,6.3,25,0,2,7,28
Blake Bell,2017,MIN,13,3,19,6.33,1.5,12,0,1,4,12
Quan Bray,2017,IND,9,3,39,13,4.3,22,0,2,4,10
Darrell Daniels,2017,IND,12,3,26,8.67,2.2,13,0,2,13,16
Josh Ferguson,2017,IND,10,3,16,5.33,1.6,8,0,0,4,24
Tanner Gentry,2017,CHI,4,3,35,11.67,8.8,15,0,2,6,1
Corey Grant,2017,JAX,16,3,41,13.67,2.6,28,0,2,4,35
Chris Matthews,2017,BAL,6,3,25,8.33,4.2,12,0,2,6,5
Devante Mays,2017,GB,8,3,0,0,0,1,0,0,3,5
De'Veon Smith,2017,MIA,5,3,27,9,5.4,13,0,1,3,19
Jaelen Strong,2017,JAX,1,3,38,12.67,38,19,1,3,4,15
Randall Telfer,2017,CLE,16,3,36,12,2.2,20,0,2,4,0
Dan Vitale,2017,CLE,15,3,19,6.33,1.3,11,0,1,5,25
Terron Ward,2017,ATL,14,3,14,4.67,1,11,0,1,3,21
Markus Wheaton,2017,CHI,11,3,51,17,4.6,22,0,2,17,3
Chad Williams,2017,ARI,6,3,31,10.33,5.2,15,0,1,7,6
Nick Williams,2017,ATL,1,3,30,10,30,14,0,3,4,5
Jamal Agnew,2017,DET,13,2,18,9,1.4,12,0,1,2,24
Antony Auclair,2017,TB,8,2,25,12.5,3.1,14,0,2,2,20
Michael Burton,2017,CHI,16,2,8,4,0.5,8,0,0,4,9
Emanuel Byrd,2017,GB,1,2,31,15.5,31,29,0,1,2,27
Orson Charles,2017,KC,5,2,53,26.5,10.6,35,0,1,2,9
Jehu Chesson,2017,KC,12,2,18,9,1.5,10,0,2,4,15
Derrick Coleman,2017,ATL,16,2,20,10,1.2,11,0,1,7,17
Jeff Cumberland,2017,LAC,7,2,2,1,0.3,2,0,0,3,0
Shelton Gibson,2017,PHI,5,2,11,5.5,2.2,6,0,0,3,-3
Tion Green,2017,DET,5,2,14,7,2.8,9,0,0,2,14
Marvin Hall,2017,ATL,8,2,60,30,7.5,40t,1,2,9,0
De'Angelo Henderson,2017,DEN,5,2,36,18,7.2,29t,1,1,2,35
Ryan Hewitt,2017,CIN,13,2,22,11,1.7,16,0,1,2,8
Darrius Heyward-Bey,2017,PIT,16,2,47,23.5,2.9,44,0,1,3,21
Cole Hikutini,2017,SF,4,2,15,7.5,3.8,10,0,2,3,2
Brian Hill,2017,CIN,6,2,36,18,6,34,0,1,2,32
Jeff Janis,2017,GB,16,2,12,6,0.8,12,0,1,5,0
Zach Line,2017,NO,12,2,8,4,0.7,5,1,1,5,2
Tre Madden,2017,SEA,8,2,65,32.5,8.1,66,0,1,2,51
Chris Manhertz,2017,CAR,16,2,17,8.5,1.1,11,0,1,4,9
Marcus Murphy,2017,BUF,1,2,7,3.5,7,5,0,1,2,10
JoJo Natson,2017,NYJ,7,2,18,9,2.6,19,0,1,5,4
Roosevelt Nix,2017,PIT,16,2,6,3,0.4,5,1,1,3,3
Darius Powe,2017,NYG,1,2,13,6.5,13,8,0,0,4,13
Bernard Reedy,2017,TB,9,2,21,10.5,2.3,15,0,1,2,8
Jeremy Sprinkle,2017,WAS,11,2,13,6.5,1.2,7t,1,1,3,3
Geoff Swaim,2017,DAL,15,2,25,12.5,1.7,18,0,2,2,11
Fitzgerald Toussaint,2017,PIT,6,2,9,4.5,1.5,7,0,1,3,12
Dwayne Washington,2017,DET,5,2,14,7,2.8,10,0,1,2,17
Derek Watt,2017,LAC,16,2,35,17.5,2.2,23,0,2,3,30
Terrance West,2017,BAL,5,2,23,11.5,4.6,15,0,2,4,21
Kevin White,2017,CHI,1,2,6,3,6,6,0,0,4,2
Cameron Artis-Payne,2017,CAR,13,1,2,2,0.1,2,0,0,1,6
Nick Bellore,2017,DET,13,1,1,1,0.1,1t,1,1,1,1
Arrelious Benn,2017,JAX,9,1,12,12,1.3,12,0,1,2,2
Brandon Bolden,2017,NE,16,1,7,7,0.4,7,0,1,4,13
Mack Brown,2017,WAS,3,1,11,11,3.7,11,0,1,1,9
Harry Douglas,2017,TEN,2,1,8,8,4,8,0,0,3,12
Lance Dunbar,2017,LA,4,1,1,1,0.2,1,0,0,3,1
Jimmy Garoppolo,2017,SF,6,1,-6,-6,-1,-6,0,0,1,0
Mike Gillislee,2017,NE,9,1,15,15,1.7,15,0,1,1,20
MarQueis Gray,2017,MIA,16,1,10,10,0.6,10,0,1,3,9
Garrett Griffin,2017,NO,3,1,4,4,1.3,4,0,0,1,0
Cobi Hamilton,2017,HOU,3,1,8,8,2.7,8,0,1,6,4
Matt Hazel,2017,IND,4,1,1,1,0.2,1,0,0,1,2
Brett Hundley,2017,GB,11,1,10,10,0.9,10,0,1,1,15
Taiwan Jones,2017,BUF,8,1,11,11,1.4,11,0,1,2,10
Joe Kerridge,2017,GB,4,1,3,3,0.8,3,0,0,1,0
Jordan Leslie,2017,CLE,2,1,26,26,13,26,0,1,1,1
Ryan Malleck,2017,HOU,2,1,3,3,1.5,3,0,0,1,2
Max McCaffrey,2017,JAX,5,1,4,4,0.8,4,0,0,1,5
Brian Mihalik,2017,DET,15,1,-4,-4,-0.3,-4,0,0,1,0
Ifeanyi Momah,2017,ARI,9,1,46,46,5.1,46,0,1,2,23
Charone Peake,2017,NYJ,3,1,3,3,1,3,0,1,1,1
Senorise Perry,2017,MIA,16,1,3,3,0.2,3,0,0,1,0
Larry Pinkard,2017,JAX,4,1,5,5,1.2,5,0,0,1,0
Kalif Raymond,2017,NYG,6,1,12,12,2,12,0,1,1,7
Andre Roberts,2017,ATL,16,1,12,12,0.8,12,0,1,4,7
Allen Robinson,2017,JAX,1,1,17,17,17,17,0,1,1,2
Eric Weems,2017,TEN,16,1,5,5,0.3,5,0,0,2,5
Leonard Wester,2017,TB,8,1,2,2,0.2,2t,1,1,1,0
DeAndrew White,2017,HOU,2,1,24,24,12,24,0,1,7,1
Marcus Williams,2017,NYJ,5,1,31,31,6.2,31,0,1,1,25
Jesus Wilson,2017,TB,3,1,18,18,6,18t,1,1,1,0
Kevin Zeitler,2017,CLE,16,1,-4,-4,-0.2,-4,0,0,1,0
Russell Bodine,2017,CIN,16,0,0,0,0,0,0,0,0,0
K.J. Brent,2017,IND,5,0,0,0,0,0,0,0,1,0
Marquis Bundy,2017,NYG,1,0,0,0,0,0,0,0,3,0
Cethan Carter,2017,CIN,16,0,0,0,0,0,0,0,1,0
Stacy Coley,2017,MIN,4,0,0,0,0,0,0,0,1,0
James Conner,2017,PIT,14,0,0,0,0,0,0,0,1,0
Cody Core,2017,CIN,13,0,0,0,0,0,0,0,4,0
Andy Dalton,2017,CIN,16,0,0,0,0,0,0,0,0,0
Ed Eagan,2017,NYG,4,0,0,0,0,0,0,0,1,0
Cameron Erving,2017,KC,13,0,0,0,0,0,0,0,1,0
David Fluellen,2017,TEN,16,0,0,0,0,0,0,0,1,0
Jalston Fowler,2017,TEN,10,0,0,0,0,0,0,0,1,0
Hroniss Grasu,2017,CHI,6,0,2,0,0.3,2,0,0,0,2
Gabe Holmes,2017,ARI,2,0,0,0,0,0,0,0,1,0
Adoree' Jackson,2017,TEN,16,0,0,0,0,0,0,0,1,0
Matt LaCosse,2017,NYG,3,0,0,0,0,0,0,0,1,0
Vince Mayle,2017,BAL,16,0,0,0,0,0,0,0,1,0
Logan Paulsen,2017,SF,14,0,0,0,0,0,0,0,2,0
Dak Prescott,2017,DAL,16,0,0,0,0,3,0,0,0,3
Brent Qvale,2017,NYJ,16,0,-2,0,-0.1,-2,0,0,0,-2
John Ross,2017,CIN,3,0,0,0,0,0,0,0,2,0
Ty Sambrailo,2017,ATL,15,0,0,0,0,0,0,0,1,0
C.J. Spiller,2017,KC,1,0,0,0,0,0,0,0,2,0
Shaq Thompson,2017,CAR,14,0,0,0,0,0,0,0,1,0
Isaac Whitney,2017,OAK,2,0,0,0,0,0,0,0,1,0
Marquez Williams,2017,CLE,1,0,0,0,0,0,0,0,1,0
Zach Zenner,2017,DET,8,0,0,0,0,0,0,0,1,0